station,year,n_tn,n_tx,n_tm,TN,TX,TMEAN,complete
Toulouse-Blagnac,1956,366,366,366,6.82868852459016,16.1087431693989,11.4890710382514,TRUE
Toulouse-Blagnac,1957,365,365,365,7.55150684931507,17.1194520547945,12.3591780821918,TRUE
Toulouse-Blagnac,1958,365,365,365,8.35232876712329,17.5112328767123,12.9561643835616,TRUE
Toulouse-Blagnac,1959,365,365,365,8.43561643835616,17.9446575342466,13.2120547945206,TRUE
Toulouse-Blagnac,1960,366,366,366,7.76939890710382,17.3224043715847,12.5674863387978,TRUE
Toulouse-Blagnac,1961,365,365,365,8.54082191780822,18.6435616438356,13.6150684931507,TRUE
Toulouse-Blagnac,1962,365,365,365,7.18986301369863,17.3630136986301,12.2994520547945,TRUE
Toulouse-Blagnac,1963,365,365,365,7.2254794520548,16.5534246575342,11.9106849315069,TRUE
Toulouse-Blagnac,1964,366,366,366,8.10765027322404,17.5704918032787,12.8601092896175,TRUE
Toulouse-Blagnac,1965,365,365,365,8.04191780821918,17.1416438356164,12.6150684931507,TRUE
Toulouse-Blagnac,1966,365,365,365,8.55315068493151,17.6068493150685,13.1016438356164,TRUE
Toulouse-Blagnac,1967,365,365,365,8.37753424657534,17.9084931506849,13.1641095890411,TRUE
Toulouse-Blagnac,1968,366,366,366,8.18333333333334,17.4658469945355,12.8489071038251,TRUE
Toulouse-Blagnac,1969,365,365,365,7.66575342465754,17.1934246575342,12.453698630137,TRUE
Toulouse-Blagnac,1970,365,365,365,7.69917808219178,17.8454794520548,12.7945205479452,TRUE
Toulouse-Blagnac,1971,365,365,365,7.63095890410959,17.4706849315069,12.5720547945205,TRUE
Toulouse-Blagnac,1972,366,366,366,7.94890710382514,17.3226775956284,12.6625683060109,TRUE
Toulouse-Blagnac,1973,365,365,365,7.64684931506849,17.8452054794521,12.7704109589041,TRUE
Toulouse-Blagnac,1974,365,365,365,8.07287671232877,17.3342465753425,12.7284931506849,TRUE
Toulouse-Blagnac,1975,365,365,365,8.08657534246576,17.7534246575342,12.9449315068493,TRUE
Toulouse-Blagnac,1976,366,366,366,7.83142076502732,18.3371584699454,13.1079234972678,TRUE
Toulouse-Blagnac,1977,365,365,365,8.3613698630137,17.6704109589041,13.0413698630137,TRUE
Toulouse-Blagnac,1978,365,365,365,7.83150684931507,17.4101369863014,12.6432876712329,TRUE
Toulouse-Blagnac,1979,365,365,365,8.00958904109589,17.3416438356164,12.6980821917808,TRUE
Toulouse-Blagnac,1980,366,366,366,7.47814207650273,16.7491803278689,12.1382513661202,TRUE
Toulouse-Blagnac,1981,365,365,365,8.40794520547945,18.0709589041096,13.2652054794521,TRUE
Toulouse-Blagnac,1982,365,365,365,9.30520547945206,18.8731506849315,14.1128767123288,TRUE
Toulouse-Blagnac,1983,365,365,365,8.58630136986301,18.4542465753425,13.5441095890411,TRUE
Toulouse-Blagnac,1984,366,366,366,7.67950819672131,17.5838797814208,12.6543715846995,TRUE
Toulouse-Blagnac,1985,365,365,365,7.38082191780822,17.7328767123288,12.5761643835616,TRUE
Toulouse-Blagnac,1986,365,365,365,8.48821917808219,18.0512328767123,13.2915068493151,TRUE
Toulouse-Blagnac,1987,365,365,365,8.56657534246575,17.8334246575342,13.2241095890411,TRUE
Toulouse-Blagnac,1988,366,366,366,8.97650273224044,18.1699453551913,13.5953551912568,TRUE
Toulouse-Blagnac,1989,365,365,365,9.11178082191781,19.5676712328767,14.3643835616438,TRUE
Toulouse-Blagnac,1990,365,365,365,9.14109589041096,19.2671232876712,14.2276712328767,TRUE
Toulouse-Blagnac,1991,365,365,365,8.50328767123287,17.9649315068493,13.2567123287671,TRUE
Toulouse-Blagnac,1992,366,366,366,9.10819672131147,17.5685792349727,13.3644808743169,TRUE
Toulouse-Blagnac,1993,365,365,365,8.71671232876712,17.6613698630137,13.2134246575342,TRUE
Toulouse-Blagnac,1994,365,365,365,10.1876712328767,18.6734246575342,14.4564383561644,TRUE
Toulouse-Blagnac,1995,365,365,365,9.3254794520548,18.9827397260274,14.1808219178082,TRUE
Toulouse-Blagnac,1996,366,366,366,9.13551912568306,17.8612021857923,13.5234972677596,TRUE
Toulouse-Blagnac,1997,365,365,365,9.84082191780822,19.6917808219178,14.7934246575342,TRUE
Toulouse-Blagnac,1998,365,365,365,8.96739726027398,18.4213698630137,13.7169863013699,TRUE
Toulouse-Blagnac,1999,365,365,365,9.46739726027397,18.7098630136986,14.1109589041096,TRUE
Toulouse-Blagnac,2000,366,366,366,9.71338797814208,18.8459016393443,14.303825136612,TRUE
Toulouse-Blagnac,2001,365,365,365,9.19424657534246,18.4756164383562,13.8583561643836,TRUE
Toulouse-Blagnac,2002,365,365,365,9.68794520547945,18.7608219178082,14.2495890410959,TRUE
Toulouse-Blagnac,2003,365,365,365,10.2405479452055,19.9309589041096,15.1115068493151,TRUE
Toulouse-Blagnac,2004,366,366,366,9.32377049180328,18.2456284153005,13.8114754098361,TRUE
Toulouse-Blagnac,2005,365,365,365,8.8641095890411,18.0734246575342,13.4947945205479,TRUE
Toulouse-Blagnac,2006,365,365,365,10.0794520547945,19.4027397260274,14.7643835616438,TRUE
Toulouse-Blagnac,2007,365,365,365,9.31205479452055,18.193698630137,13.7756164383562,TRUE
Toulouse-Blagnac,2008,366,366,366,9.21693989071039,18.3803278688525,13.8232240437158,TRUE
Toulouse-Blagnac,2009,365,365,365,9.64493150684932,19.2052054794521,14.4495890410959,TRUE
Toulouse-Blagnac,2010,365,365,365,8.62986301369863,17.8972602739726,13.2843835616438,TRUE
Toulouse-Blagnac,2011,365,365,365,10.1682191780822,19.9347945205479,15.0739726027397,TRUE
Toulouse-Blagnac,2012,366,366,366,9.49781420765027,19.0743169398907,14.3098360655738,TRUE
Toulouse-Blagnac,2013,365,365,365,9.40849315068493,17.9931506849315,13.7276712328767,TRUE
Toulouse-Blagnac,2014,365,365,365,10.3676712328767,19.5731506849315,14.9950684931507,TRUE
Toulouse-Blagnac,2015,365,365,365,10.1194520547945,19.6493150684932,14.9082191780822,TRUE
Toulouse-Blagnac,2016,366,366,366,9.95628415300546,19.3016393442623,14.6546448087432,TRUE
Toulouse-Blagnac,2017,365,365,365,9.66438356164384,19.5024657534247,14.6098630136986,TRUE
Toulouse-Blagnac,2018,365,365,365,10.7087671232877,19.5205479452055,15.1383561643836,TRUE
Toulouse-Blagnac,2019,365,365,365,9.98109589041096,19.9446575342466,14.9887671232877,TRUE
Toulouse-Blagnac,2020,366,366,366,10.5510928961749,20.2,15.4027322404372,TRUE
Toulouse-Blagnac,2021,365,365,365,9.68986301369863,19.052602739726,14.3980821917808,TRUE
Toulouse-Blagnac,2022,365,365,365,11.2147945205479,21.321095890411,16.2942465753425,TRUE
Toulouse-Blagnac,2023,365,365,365,10.6909589041096,20.7621917808219,15.7520547945206,TRUE
Toulouse-Blagnac,2024,366,366,366,10.5448087431694,19.6043715846995,15.0991803278689,TRUE
Toulouse-Blagnac,2025,365,365,365,10.7169863013699,20.5517808219178,15.6591780821918,TRUE
Toulouse-Blagnac,2026,190,190,190,9.91105263157895,20.0384210526316,14.9984210526316,FALSE
